PWSCity	WSState	WSZipCode	lon	lat
ANDERSON ISLAND	WA	98303	-122.6837041	47.1636283
LONGVIEW	WA	98632	-122.9381672	46.1381676
SUNNYSIDE	WA	98944	-120.0086538	46.3237423
PATERSON	WA	99345	-119.602597	45.93897
BLAINE	WA	98230	-122.7471191	48.993723
EATONVILLE	WA	98328	-122.266502	46.8673263
SEATTLE	WA	98104	-122.3323351	47.6015566
LITTLE ROCK	WA	98556	-123.0174955	46.9019869
OROVILLE	WA	98844	-119.4356211	48.9390509
ELMA	WA	98541	-123.4087692	47.0034291
GRANDVIEW	WA	98930	-119.9017049	46.2509653
LANGLEY	WA	98260	-122.406257	48.0400945
SILVERDALE	WA	98315	-122.7233671	47.7039478
ROCKPORT	WA	98283	-121.5976334	48.485671
LAKE STEVENS	WA	98258	-122.0637425	48.015098
PUYALLUP	WA	98375	-122.3114361	47.1079548
TACOMA	WA	98448	-122.4364624	47.1459357
BENTON CITY	WA	99320	-119.487802	46.2631897
TENINO	WA	98589	-122.8529094	46.8567662
DUPONT	WA	98327	-122.6312391	47.0967638
OLYMPIA	WA	98516	-122.7708828	47.1139164
BURBANK	WA	99323	-119.0130618	46.1998568
BELFAIR	WA	98528	-122.826946	47.4514588
SUMNER	WA	98390	-122.2403966	47.2031566
PATEROS	WA	98846	-119.9034007	48.0509756
LACEY	WA	98503	-122.7982856	47.0180992
HOODSPORT	WA	98548	-123.1405804	47.4063647
CENTRALIA	WA	98532	-122.9542972	46.7162136
COSMOPOLIS	WA	98537	-123.7737763	46.9553719
SEATTLE	WA	98168	-122.295521	47.4886652
ASHFORD	WA	98304	-122.0309409	46.7584413
YACOLT	WA	98675	-122.4062074	45.8659467
ASOTIN	WA	99402	-117.2851677	46.1880909
FINLEY	WA	99337	-119.0338959	46.1540232
AUBURN	WA	98001	-122.2667661	47.3394747
BELLEVUE	WA	98005	-122.1717577	47.6150436
CASTLE ROCK	WA	98611	-122.9076141	46.275111
GRAND COULEE	WA	99133	-119.0120921	47.9391662
PROSSER	WA	99350	-119.7907546	46.2129898
OAK HARBOR	WA	98278	-122.6898122	48.3321731
TACOMA	WA	98444	-122.4554287	47.1547274
SPOKANE	WA	99201	-117.4316272	47.6600716
OLYMPIA	WA	98508	-122.94	47.04
MOSSYROCK	WA	98564	-122.4851112	46.5295517
MCKENNA	WA	98558	-122.551474	46.9397611
TUMWATER	WA	98501	-122.9093063	47.0073187
VANCOUVER	WA	98686	-122.6212498	45.71942
FORD	WA	99013	-117.8249298	47.8640687
WHITE SALMON	WA	98672	-121.4864619	45.7276194
LACEY	WA	98509	-122.8	47.04
OLYMPIA	WA	98507	-122.89	47.04
EPHRATA	WA	98823	-119.5536491	47.3176385
WASHOUGAL	WA	98671	-122.3534247	45.5826188
CHEWELAH	WA	99109	-117.7155208	48.276287
NORTH BEND	WA	98045	-121.7867775	47.4956579
BEAVER	WA	98305	-124.2281237	47.9916881
CONCRETE	WA	98237	-121.7462513	48.5392813
OCEAN SHORES	WA	98569	-124.1562852	46.9736986
CUSICK	WA	99119	-117.2971655	48.3374055
MAZAMA	WA	98833	-120.5665911	48.7009709
YAKIMA	WA	98904	-120.5	46.6
TAHUYA	WA	98588	-123.0553324	47.3717662
BOTHELL	WA	98021	-122.2029132	47.7972338
HOQUIAM	WA	98550	-123.8893348	46.9809247
ROOSEVELT	WA	99356	-120.2158771	45.742907
COWICHE	WA	98923	-120.7139833	46.6710606
SALKUM	WA	98582	-122.6260102	46.5314932
YAKIMA	WA	98903	-120.9521918	46.5274967
BRINNON	WA	98320	-122.8982142	47.679259
SEDRO WOOLLEY	WA	98284	-122.23611	48.50389
BELLEVUE	WA	98008	-122.1112721	47.6120759
YAKIMA	WA	98901	-120.4454218	46.6140435
MESA	WA	99343	-119.0066733	46.5762498
NORTHPORT	WA	99157	-117.7816505	48.9160223
STARBUCK	WA	99359	-118.1282242	46.5201762
EVERETT	WA	98206	-122.21	47.9799999
BEVERLY	WA	99321	-119.9296785	46.8329472
MORTON	WA	98356	-122.2751046	46.5584421
RAYMOND	WA	98577	-123.7329385	46.6864887
SOUTH PRAIRIE	WA	98385	-122.100171	47.1397414
BATTLE GROUND	WA	98604	-122.5334307	45.7809491
BAINBRIDGE ISLAND	WA	98110	-122.5434407	47.6458327
KENT	WA	98030	-122.197612	47.3666507
WALLA WALLA	WA	99362	-118.3152699	46.0819562
SILVER CREEK	WA	98585	-122.4922768	46.5756028
WAPATO	WA	98951	-120.4203382	46.4476278
TOKELAND	WA	98590	-123.9818347	46.7064856
TUKWILA	WA	98188	-122.2829161	47.4489305
TOUTLE	WA	98649	-122.5517533	46.288769
EASTSOUND	WA	98245	-122.9061069	48.696654
COVINGTON	WA	98042	-122.118012	47.3595592
WOODINVILLE	WA	98072	-122.1634582	47.7542651
CLARKSTON	WA	99403	-117.0451581	46.4162723
BEAUX ARTS	WA	98004	-122.2054698	47.5846375
HUSUM	WA	98623	-121.4869839	45.7993728
GRAYLAND	WA	98547	-124.0932273	46.8100926
RAVENSDALE	WA	98051	-121.9837251	47.3523235
BELLEVUE	WA	98009	-122.2001506	47.6101153
BELLINGHAM	WA	98225	-122.4894588	48.7562157
ALLYN	WA	98524	-122.8298029	47.3818017
MARBLEMOUNT	WA	98267	-121.4495729	48.527619
ROCHESTER	WA	98579	-123.0755296	46.8280636
OLYMPIA	WA	98504	-122.89	47.04
GIG HARBOR	WA	98332	-122.5801293	47.329264
PORT LUDLOW	WA	98365	-122.6834913	47.9253693
MATTAWA	WA	99349	-119.9028234	46.73791
GRAHAM	WA	98338	-122.2942839	47.0528789
SPANAWAY	WA	98387	-122.4314043	47.0868172
VANCOUVER	WA	98683	-122.5130927	45.6063161
QUILCENE	WA	98376	-122.8757199	47.8223137
CASHMERE	WA	98815	-120.4698024	47.5223465
SPOKANE	WA	99220	-117.39	47.6599999
VANCOUVER	WA	98682	-122.4979879	45.6585294
ZILLAH	WA	98953	-120.2619988	46.4020734
MERCER ISLAND	WA	98040	-122.2220673	47.5706548
BICKLETON	WA	99322	-120.3006062	45.9979065
LUMMI ISLAND	WA	98262	-122.6863586	48.7248452
MOUNT VERNON	WA	98274	-122.3340474	48.421216
REPUBLIC	WA	99166	-118.7378067	48.6482183
STEVENSON	WA	98648	-121.8845241	45.6956723
WALLULA	WA	99363	-118.9052776	46.0854121
RIDGEFIELD	WA	98642	-122.7426009	45.815115
TOUCHET	WA	99360	-118.6722078	46.0398567
EDGEWOOD	WA	98371	-122.293732	47.2501005
VANCOUVER	WA	98684	-122.5192894	45.6254031
AUBURN	WA	98092	-122.2284532	47.3073228
BRINNON	WA	98362	-122.9044302	47.693589
KETTLE FALLS	WA	99141	-118.0558218	48.6107354
BINGEN	WA	98605	-121.4645173	45.7148416
WINLOCK	WA	98596	-122.9378983	46.4912176
SPOKANE	WA	99217	-117.2676857	47.7315095
YAKIMA	WA	98907	-120.35	46.67
OCEAN PARK	WA	98640	-124.0501628	46.4914875
EATONVILLE	WA	98348	-122.3274742	46.8297122
BLACK DIAMOND	WA	98010	-122.0031691	47.3087121
MAPLE FALLS	WA	98226	-122.0768274	48.9239352
WENATCHEE	WA	98801	-120.3103494	47.4234599
BREWSTER	WA	98812	-119.7806166	48.0959784
MATTAWA	WA	99344	-119.9165575	46.6728673
BOW	WA	98232	-122.4296423	48.5345309
MEAD	WA	99202	-117.3719973	47.6568696
EVERSON	WA	98247	-122.3426588	48.9201171
OCEAN CITY	WA	98569	-124.1660091	47.0709194
DEER PARK	WA	99006	-117.476891	47.9543375
VANCOUVER	WA	98666	-122.67	45.63
ADNA	WA	98522	-123.0597666	46.6278946
RIVERSIDE	WA	98849	-119.506439	48.5023752
VANCOUVER	WA	98662	-122.5829013	45.6894495
CHATTAROY	WA	99003	-117.2925246	47.9061687
ELLENSBURG	WA	98926	-120.5478474	46.9965144
UNION	WA	98592	-123.1016462	47.3546894
PORT TOWNSEND	WA	98368	-122.7604472	48.1170387
BOTHELL	WA	98011	-122.2021071	47.759038
WEST RICHLAND	WA	99353	-119.3614092	46.3043015
SEATTLE	WA	98166	-122.3567244	47.4475151
COLFAX	WA	99111	-117.3643495	46.8801654
ELECTRIC CITY	WA	99123	-119.0367115	47.9310236
MALOTT	WA	98829	-119.7089136	48.2879677
LOOMIS	WA	98827	-119.6334004	48.8209751
METALINE FALLS	WA	99153	-117.3724667	48.8638091
VANCOUVER	WA	98665	-122.6570795	45.6762725
BRIDGEPORT	WA	98813	-119.671164	48.0081999
CUSTER	WA	98240	-122.6379502	48.9173339
